Acesso	Bloco	ProdCom	ProdTot	NumRaiz	CorRama	TamRama	TipoLobulosFolha	FormatoLobulo	PigmentacaoNervura	CorFolha
Arruba	1	20.042	32.5	2.500	1	6	5	6	7	3
Cambraia	1	19.125	34.5	2.625	3	5	7	6	7	4
Cariruvermelha	1	27.917	46.542	4.500	9	5	7	6	5	9
Coquinha	1	6.875	10.625	3.000	1	6	5	6	7	1
Espanhola	1	17.958	26.833	3.000	1	6	5	6	6	3
Licuri	1	27.083	39.208	5.333	1	6	7	6	4	4
Palmas	1	21.542	36.75	2.500	1	4	1	2	3	3
Princesa	1	27.792	43.5	4.143	9	7	9	9	6	9
TCarro1	1	31.083	65.792	3.714	7	5	7	5	7	8
TCarro2	1	7.708	13.583	0.875	1	4	1	2	3	3
Arruba	2	13.042	26.25	2.000	NA	NA	NA	NA	NA	NA
Cambraia	2	14.792	24.583	2.250	NA	NA	NA	NA	NA	NA
Cariruvermelha	2	15.083	25.417	2.857	NA	NA	NA	NA	NA	NA
Coquinha	2	2	5.417	2.000	NA	NA	NA	NA	NA	NA
Espanhola	2	15.833	24.583	2.143	NA	NA	NA	NA	NA	NA
Licuri	2	25.292	25.833	2.714	NA	NA	NA	NA	NA	NA
Palmas	2	16.5	29.583	2.625	NA	NA	NA	NA	NA	NA
Princesa	2	22.625	37.5	3.250	NA	NA	NA	NA	NA	NA
TCarro1	2	13.25	23.333	2.714	NA	NA	NA	NA	NA	NA
TCarro2	2	5.292	12.917	1.125	NA	NA	NA	NA	NA	NA
Arruba	3	16.667	21.292	2.667	NA	NA	NA	NA	NA	NA
Cambraia	3	17.292	26.25	2.000	NA	NA	NA	NA	NA	NA
Cariruvermelha	3	38.75	45	4.625	NA	NA	NA	NA	NA	NA
Coquinha	3	0	1.583	0.000	NA	NA	NA	NA	NA	NA
Espanhola	3	22.583	26.25	3.000	NA	NA	NA	NA	NA	NA
Licuri	3	28.125	39.583	4.250	NA	NA	NA	NA	NA	NA
Palmas	3	16.25	20.208	2.750	NA	NA	NA	NA	NA	NA
Princesa	3	15.458	27.5	2.571	NA	NA	NA	NA	NA	NA
TCarro1	3	31.417	40.458	4.000	NA	NA	NA	NA	NA	NA
TCarro2	3	10	15	1.250	NA	NA	NA	NA	NA	NA
Arruba	4	21.417	29.625	2.625	NA	NA	NA	NA	NA	NA
Cambraia	4	27.667	37.417	2.750	NA	NA	NA	NA	NA	NA
Cariruvermelha	4	36.083	52.25	3.750	NA	NA	NA	NA	NA	NA
Coquinha	4	7.083	11.75	1.333	NA	NA	NA	NA	NA	NA
Espanhola	4	9.583	25.917	1.875	NA	NA	NA	NA	NA	NA
Licuri	4	28.333	38.958	2.375	NA	NA	NA	NA	NA	NA
Palmas	4	23.5	28.958	2.571	NA	NA	NA	NA	NA	NA
Princesa	4	7.042	25.417	1.667	NA	NA	NA	NA	NA	NA
TCarro1	4	27.5	58.917	3.667	NA	NA	NA	NA	NA	NA
TCarro2	4	11.125	18.958	0.625	NA	NA	NA	NA	NA	NA
