Trat	Bloco	Altura	MS	Diam	Ramificacoes1	Ramificacoes2	 Infloresc	P.Sementes	Germinacao	TeorOleo
Variedade1	1	74.00	14.43	7.87	24.67	6.33	8.67	3.29	6	23.10165218
Variedade1	2	89.00	17.00	8.58	29.67	4.33	9.33	6.02	9	24.55869536
Variedade1	3	82.00	20.13	10.60	27.33	7.33	12.00	4.74	5	26.02184896
Variedade1	4	84.00	16.43	9.25	28.00	4.67	9.67	2.63	6	24.74040896
Variedade1	5	70.33	17.67	10.86	23.44	6.00	11.33	5.00	11	21.5686015
Variedade2	1	80.00	17.87	7.94	26.67	7.00	10.00	7.00	4	24.40737393
Variedade2	2	90.67	17.97	7.54	30.22	6.33	13.00	9.76	7	24.00607365
Variedade2	3	75.33	16.23	6.64	25.11	8.00	12.00	8.65	3	25.30178498
Variedade2	4	76.67	18.77	8.20	25.56	9.00	13.33	4.81	3	25.39843428
Variedade2	5	68.33	15.00	8.20	22.78	2.67	7.67	4.91	4	25.45700382
Variedade3	1	80.33	18.27	7.92	26.78	3.00	8.00	2.38	4	25.990457
Variedade3	2	73.33	15.07	6.84	24.44	5.00	10.00	7.43	3	27.40906236
Variedade3	3	73.67	17.30	6.67	24.56	2.33	7.33	5.93	0	24.42459738
Variedade3	4	75.00	23.75	8.78	37.50	9.50	14.00	13.25	4	26.69282333
Variedade3	5	72.00	14.33	6.85	24.00	3.00	6.67	7.46	10	26.57455991
Variedade4	1	87.00	17.23	9.81	29.00	6.67	12.33	7.76	7	27.65476737
Variedade4	2	87.33	17.00	10.11	29.11	6.00	11.33	5.53	1	28.36594009
Variedade4	3	75.67	15.53	7.89	25.22	8.00	12.33	6.25	1	26.67017253
Variedade4	4	73.67	15.97	9.45	24.56	6.67	11.00	8.02	4	29.1239843
Variedade4	5	80.67	18.10	10.38	26.89	4.67	7.67	4.11	1	22.98521769
Variedade5	1	81.00	21.70	8.46	40.50	10.50	15.50	12.46	10	28.97292228
Variedade5	2	70.67	14.00	6.59	23.56	8.00	14.00	8.53	2	29.79604381
Variedade5	3	73.67	11.07	6.54	24.56	9.00	11.67	7.22	1	27.6545707
Variedade5	4	66.00	12.73	7.49	22.00	7.67	12.67	9.45	8	28.71489533
Variedade5	5	64.33	11.43	6.61	21.44	7.67	11.67	7.71	2	30.01462629
Variedade6	1	86.33	15.50	10.77	28.78	3.33	8.00	2.86	9	28.11774948
Variedade6	2	81.33	20.60	10.50	27.11	7.33	10.67	5.56	6	21.61858367
Variedade6	3	91.33	17.30	10.22	30.44	4.33	7.67	2.18	3	21.48369197
Variedade6	4	73.33	17.33	11.15	24.44	5.67	10.33	4.73	8	22.87912065
Variedade6	5	106.67	22.03	10.07	35.56	3.00	8.33	4.45	7	24.1821356
Variedade7	1	87.00	22.50	8.58	43.50	9.50	18.00	8.27	12	30.01107753
Variedade7	2	77.67	15.30	7.32	25.89	7.67	13.00	9.69	13	29.63098005
Variedade7	3	84.00	15.10	6.67	28.00	2.67	8.33	9.03	14	28.21906092
Variedade7	4	60.00	11.03	5.62	20.00	3.67	8.67	7.90	10	26.41920172
Variedade7	5	80.33	13.80	6.30	26.78	3.00	6.33	8.57	8	24.82948115
Variedade8	1	98.33	16.27	7.50	32.78	5.33	9.33	7.33	2	27.19857989
Variedade8	2	124.33	19.07	8.39	41.44	0.33	10.33	6.64	3	25.39460906
Variedade8	3	100.67	16.07	7.17	33.56	5.00	10.67	7.28	3	26.36516161
Variedade8	4	111.00	17.13	7.42	37.00	2.67	7.33	7.33	6	27.98405874
Variedade8	5	85.00	14.43	7.77	28.33	3.33	7.67	9.32	5	27.638078
Variedade9	1	67.33	13.90	6.72	22.44	6.33	11.67	10.52	15	27.39599219
Variedade9	2	90.00	15.20	7.35	30.00	5.00	6.33	5.38	10	25.4811162
Variedade9	3	73.33	13.67	6.49	24.44	6.00	12.33	8.76	11	27.43260752
Variedade9	4	65.67	14.20	7.16	21.89	5.33	10.67	9.69	5	25.26880056
Variedade9	5	69.00	11.90	6.28	23.00	6.00	11.67	10.19	7	27.04825062
