Gen	FBtemp	FAemb.	Rep	GMRad	GM5pn	GM9pn	UM	IVG	MfA	MFR	MSA	MSR	PESO100	COMP	LARG	ESP
A	90	1	1	92	32	40	10.51	10.92	13.4652	1.9524	3.3048	0.187	50.612	14.45	8.74	6.25
A	90	2	1	92	48	56	10.48	10.42	14.778	2.3073	3.9207	0.3289	47.12	14.12	8.58	6.9
A	90	3	1	92	40	48	11.45	11	13.4743	1.5606	3.3633	0.228	47.228	13.83	8.4	5.87
A	90	4	1	88	52	64	10.93	10.42	21.766	2.8424	5.5884	0.3422	49.572	14.49	8.79	5.96
A	90	5	1	88	40	52	10.58	10.33	17.1809	2.0823	4.1501	0.2395	48.872	14.24	8.61	6.11
A	90	6	1	96	52	56	13.5	12	17.9462	2.017	4.2785	0.2204	48.988	14.22	8.45	6.05
A	90	1	2	76	20	44	10.48	8.25	15.7271	2.2197	4.0322	0.2208	50.768	14.68	8.78	6.2
A	90	2	2	80	32	52	10.28	9.5	16.4522	2.9375	4.1601	0.3625	47.904	13.38	8.32	5.76
A	90	3	2	80	12	32	11.45	9.33	9.4158	1.3191	2.0265	0.1465	46.592	13.92	8.23	5.93
A	90	4	2	92	64	72	11	10.75	20.5549	2.8099	5.1827	0.3689	50.272	13.92	8.24	5.79
A	90	5	2	100	52	52	10.78	11.08	15.7363	1.6923	4.1161	0.2254	45.336	14.05	8.43	6.2
A	90	6	2	96	32	36	13.79	11.58	9.8096	1.7828	2.4191	0.1567	45.712	13.89	8.35	5.9
A	90	1	3	92	44	52	10.6	10.53	15.1543	2.1632	3.3826	0.2588	52.632	13.91	8.43	5.86
A	90	2	3	96	68	72	10.54	11.42	21.3312	3.9887	4.8676	0.504	48.184	13.53	8.24	5.76
A	90	3	3	92	52	60	11.22	10.66	18.6637	1.9917	4.642	0.2458	52.64	13.81	8.4	5.9
A	90	4	3	88	36	48	10.67	10.33	14.7719	1.6757	3.6426	0.2201	43.44	13.72	8.44	5.92
A	90	5	3	100	76	76	10.62	10.83	26.5775	3.629	6.5822	0.4083	47.356	13.85	8.24	6.01
A	90	6	3	88	20	32	13.99	11	8.7759	1.3631	2.0839	0.119	49.424	13.74	8.21	5.97
A	90	1	4	92	36	44	10.69	11	12.3715	1.3515	3.0037	0.1844	46.068	13.45	8.17	5.7
A	90	2	4	92	52	60	10.67	10.92	18.0167	3.3077	4.786	0.3913	43.824	13.71	8.34	6.06
