Gen	FBtemp	FAemb.	Rep	GMRad	GM5pn	GM9pn	UM	IVG	MfA	MFR	MSA	MSR	PESO100	COMP	LARG	ESP
A	90	3	4	92	56	64	11.67	11.17	17.2107	2.3105	4.0809	0.2801	46.22	13.72	8.51	6.21
A	90	4	4	88	52	64	10.49	10.17	18.7343	2.1874	4.787	0.2752	46.96	13.75	8.34	6.21
A	90	5	4	92	80	80	10.48	10.58	27.4935	4.0694	6.1947	0.465	49.86	13.92	8.43	6.13
A	90	6	4	100	28	28	13.68	12.33	9.1064	1.2731	2.0021	0.1269	48.48	13.71	8.27	5.91
A	180	1	1	96	80	84	11.64	10.08	29.0265	7.553	5.9747	0.7284	48.7228	13.21	8.05	5.98
A	180	2	1	92	72	80	10.66	9.76	29.1289	5.613	6.6144	0.5457	45.4	13.88	8.44	5.95
A	180	3	1	100	76	76	11.59	11.2	23.797	6.9825	5.2535	0.6995	45.988	13.44	8.16	5.94
A	180	4	1	92	72	80	12.65	9.33	29.589	7.1013	6.4907	0.6843	45.7664	14.07	8.37	6.05
A	180	5	1	92	80	88	10.74	9.91	31.229	6.7385	6.2449	0.7146	46.9228	13.18	8.01	5.69
A	180	6	1	96	72	76	14.22	11	23.683	4.7488	5.243	0.479	43.5416	13.2	8	5.87
A	180	1	2	96	88	92	10.68	10.03	32.2485	8.6619	6.658	0.8147	48.0744	13.14	8.33	5.83
A	180	2	2	96	92	96	10.19	10.03	34.1242	6.2435	8.2121	0.6271	48.0404	13.98	8.5	6
A	180	3	2	96	84	88	12.05	10.58	30.116	6.933	6.6764	0.6808	45.37	13.72	8.37	5.98
A	180	4	2	80	44	64	12.52	9	20.9954	4.225	4.5072	0.4258	49.4556	13.4	8.01	5.81
A	180	5	2	96	76	80	10.52	10.28	26.1172	6.324	5.2637	0.622	50.4476	13.33	8.16	5.87
A	180	6	2	100	76	76	14.12	12	24.6756	5.9461	5.1723	0.5739	49.6552	13.48	8.13	6.4
A	180	1	3	100	84	84	10.42	9.75	30.8601	7.9143	6.094	0.7894	46.2476	13.63	8.37	5.85
A	180	2	3	96	76	80	10.38	9.91	28.4689	5.5229	6.5218	0.5508	46.4592	13.82	8.41	5.93
A	180	3	3	88	60	72	11.49	9.2	21.6838	4.503	4.6979	0.4576	46.2284	13.56	8.39	5.8
A	180	4	3	92	72	72	12.61	10.16	23.5178	5.3653	4.8601	0.5165	44.4448	13.47	8.31	5.93
A	180	5	3	100	88	88	10.43	10.75	27.4679	6.7475	5.8164	0.7143	48.2468	12.88	8.12	5.81
A	180	6	3	100	88	88	13.87	12	27.9681	5.6709	6.0769	0.549	46.8524	13.64	8.31	5.84
A	180	1	4	100	84	88	11.12	10.03	34.3001	8.599	6.9112	0.8482	44.7356	14.02	8.22	6.22
A	180	2	4	96	92	96	10.44	10.33	32.8236	6.3617	7.4961	0.6256	46.2668	13.56	8.17	5.93
A	180	3	4	100	84	84	11.15	9.4	27.5714	7.4196	6.329	0.717	43.544	13.83	8.58	6.05
A	180	4	4	92	72	80	12.39	9.91	26.5669	6.0091	5.6238	0.6178	48.1388	13.64	8.47	5.91
A	180	5	4	96	84	88	10.82	10.91	31.9809	7.9317	6.6257	0.7909	45.4172	13.78	8.36	6.06
A	180	6	4	100	80	80	14.04	11.92	28.6863	5.5192	6.2705	0.5435	41.746	13.77	8.55	6.11
A	270	1	1	96	36	40	12.86	11.36	14.006	2.3432	2.7616	0.2213	49.65	13.57	8.51	6.09
A	270	2	1	96	56	60	9.01	10.42	23.0785	4.5452	4.4193	0.3489	80.1044	13.53	8.38	5.59
A	270	3	1	100	64	64	10.71	11.83	25.1288	3.8906	4.8496	0.3887	44.742	13.76	8.43	6.07
A	270	4	1	92	60	68	10.74	10.08	24.1439	4.1362	4.3631	0.416	44.3244	13.04	7.88	5.73
A	270	5	1	92	72	80	9.88	9.05	30.866	5.9011	5.6314	0.5911	44.8964	13.64	8.57	6.1
A	270	6	1	96	84	88	17.51	9.02	34.1331	6.8301	6.2813	0.7626	42.3808	13.67	8.55	5.82
A	270	1	2	92	48	56	10.94	10.42	18.8996	2.9586	3.7708	0.2806	69.1224	13.47	8.4	5.98
A	270	2	2	100	72	72	13.44	11.42	24.4774	4.9873	5.0619	0.3707	75.1608	13.45	7.84	5.76
A	270	3	2	96	56	60	11.64	11.03	23.8828	4.8066	4.0088	0.4548	44.4296	13.67	8.51	5.97
A	270	4	2	92	48	56	10.85	10.25	18.9674	3.2755	2.9714	0.3066	46.4684	12.91	8.09	5.61
A	270	5	2	88	52	64	10.92	9.67	27.5001	4.7468	4.7575	0.4371	55.2876	13.75	8.5	6
A	270	6	2	96	72	76	18.58	9.87	25.8878	4.9428	5.2267	0.51	44.2576	13.54	8.27	6.01
A	270	1	3	80	44	64	10.25	9.25	23.2769	3.8971	4.1494	0.3891	65.5376	13.14	8.34	5.63
A	270	2	3	100	80	80	9.78	10.37	31.0526	6.8866	6.1886	0.557	47.0676	13.53	8.37	5.96
A	270	3	3	96	64	68	10.79	11.17	25.2475	4.9354	4.4102	0.4316	49.3504	13.21	8.26	5.94
A	270	4	3	88	48	60	10.52	9.33	22.4802	4.6796	4.1404	0.4115	46.8692	13.78	8.31	5.81
A	270	5	3	96	84	88	11.58	10.5	36.3429	6.7461	6.4023	0.6653	46.5016	13.38	8.31	5.98
A	270	6	3	88	64	76	17.85	9.75	28.8682	5.5716	5.1655	0.6328	47.708	13.76	8.24	5.89
A	270	1	4	84	44	40	9.04	9.92	14.0718	2.4669	2.873	0.236	43.2988	13.53	8.62	5.96
A	270	2	4	100	68	68	9.74	10.03	27.157	5.9855	4.9395	0.471	48.6192	13.4	8.21	5.83
A	270	3	4	96	68	72	10.86	10.01	28.2798	5.3832	5.3066	0.5044	45.7172	13.85	8.48	6.02
A	270	4	4	96	52	56	10.62	11.08	19.9749	3.7187	3.6834	0.3278	45.8404	13.49	8.39	6.05
A	270	5	4	100	68	68	10.08	10.7	29.4149	4.9568	5.0235	0.467	46.9316	13.51	8.37	5.98
A	270	6	4	96	84	88	19.99	10.5	33.1609	5.8558	5.8774	0.628	46.2276	13.27	8.41	5.74
B	90	1	1	91	37	41	14.51	13.92	16.4652	3.9524	8.3048	0.187	55.612	19.45	10.74	9.25
B	90	2	1	87	53	58	12.48	15.42	16.778	3.3073	5.9207	0.3289	51.12	15.12	9.58	7.9
B	90	3	1	90	44	53	15.45	14	18.4743	4.5606	7.3633	0.228	49.228	17.83	10.4	9.87
B	90	4	1	87	57	69	14.93	13.42	23.766	4.8424	9.5884	0.3422	50.572	16.49	12.79	9.96
B	90	5	1	87	43	56	14.58	14.33	21.1809	5.0823	7.1501	0.2395	53.872	17.24	9.61	11.11
B	90	6	1	95	53	58	17.5	17	19.9462	4.017	9.2785	0.2204	53.988	17.22	9.45	11.05
B	90	1	2	72	23	48	11.48	10.25	20.7271	5.2197	5.0322	0.2208	54.768	18.68	13.78	11.2
B	90	2	2	78	34	54	13.28	12.5	19.4522	7.9375	8.1601	0.3625	50.904	15.38	9.32	6.76
B	90	3	2	76	17	34	14.45	11.33	11.4158	5.3191	6.0265	0.1465	51.592	15.92	9.23	8.93
B	90	4	2	91	66	74	14	15.75	23.5549	7.8099	9.1827	0.3689	51.272	14.92	12.24	7.79
B	90	5	2	98	54	57	14.78	15.08	16.7363	6.6923	9.1161	0.2254	49.336	17.05	13.43	11.2
B	90	6	2	92	34	39	14.79	12.58	11.8096	5.7828	5.4191	0.1567	48.712	14.89	13.35	10.9
B	90	1	3	90	45	53	11.6	11.53	19.1543	5.1632	6.3826	0.2588	57.632	15.91	12.43	10.86
B	90	2	3	92	72	74	13.54	12.42	24.3312	8.9887	6.8676	0.504	49.184	17.53	9.24	6.76
B	90	3	3	89	57	62	16.22	15.66	20.6637	2.9917	7.642	0.2458	55.64	14.81	9.4	9.9
B	90	4	3	87	39	52	11.67	12.33	18.7719	5.6757	7.6426	0.2201	44.44	15.72	12.44	9.92
B	90	5	3	96	79	78	11.62	13.83	29.5775	8.629	9.5822	0.4083	52.356	18.85	13.24	10.01
B	90	6	3	83	21	36	15.99	13	12.7759	3.3631	7.0839	0.119	51.424	14.74	12.21	8.97
B	90	1	4	91	40	49	13.69	16	13.3715	6.3515	8.0037	0.1844	51.068	16.45	13.17	6.7
B	90	2	4	91	53	62	12.67	13.92	21.0167	8.3077	6.786	0.3913	48.824	14.71	12.34	8.06
B	90	3	4	91	58	65	16.67	13.17	18.2107	3.3105	5.0809	0.2801	48.22	16.72	10.51	9.21
B	90	4	4	84	53	68	13.49	12.17	20.7343	4.1874	8.787	0.2752	47.96	15.75	13.34	9.21
B	90	5	4	91	84	83	15.48	11.58	32.4935	7.0694	8.1947	0.465	50.86	14.92	13.43	8.13
B	90	6	4	95	30	32	16.68	15.33	11.1064	2.2731	4.0021	0.1269	53.48	16.71	9.27	9.91
B	180	1	1	92	81	86	12.64	12.08	30.0265	12.553	6.9747	0.7284	52.7228	16.21	12.05	8.98
B	180	2	1	88	73	81	11.66	10.76	32.1289	6.613	10.6144	0.5457	48.4	15.88	9.44	6.95
B	180	3	1	97	81	78	16.59	14.2	25.797	7.9825	6.2535	0.6995	49.988	18.44	10.16	10.94
B	180	4	1	89	74	85	15.65	14.33	30.589	8.1013	11.4907	0.6843	46.7664	17.07	11.37	10.05
B	180	5	1	90	83	90	15.74	14.91	32.229	11.7385	9.2449	0.7146	47.9228	15.18	11.01	7.69
B	180	6	1	95	77	81	17.22	16	24.683	6.7488	9.243	0.479	47.5416	15.2	13	7.87
B	180	1	2	95	90	95	14.68	11.03	37.2485	12.6619	11.658	0.8147	49.0744	14.14	9.33	10.83
B	180	2	2	92	93	98	14.19	13.03	37.1242	7.2435	11.2121	0.6271	49.0404	18.98	13.5	11
B	180	3	2	92	89	90	16.05	14.58	33.116	7.933	7.6764	0.6808	50.37	17.72	9.37	8.98
B	180	4	2	79	46	65	14.52	11	24.9954	5.225	8.5072	0.4258	53.4556	14.4	10.01	10.81
B	180	5	2	93	78	82	11.52	12.28	29.1172	7.324	10.2637	0.622	53.4476	17.33	13.16	7.87
B	180	6	2	99	78	77	17.12	16	27.6756	9.9461	6.1723	0.5739	53.6552	15.48	13.13	9.4
B	180	1	3	99	86	85	14.42	14.75	33.8601	11.9143	10.094	0.7894	51.2476	16.63	9.37	6.85
B	180	2	3	93	77	83	15.38	11.91	33.4689	6.5229	9.5218	0.5508	48.4592	18.82	13.41	9.93
B	180	3	3	85	63	77	12.49	14.2	22.6838	8.503	9.6979	0.4576	47.2284	14.56	10.39	10.8
B	180	4	3	87	77	77	16.61	15.16	25.5178	7.3653	6.8601	0.5165	49.4448	15.47	12.31	6.93
B	180	5	3	97	91	91	14.43	13.75	31.4679	8.7475	6.8164	0.7143	51.2468	16.88	12.12	6.81
B	180	6	3	99	92	89	14.87	15	30.9681	8.6709	7.0769	0.549	47.8524	14.64	11.31	7.84
B	180	1	4	99	89	91	15.12	12.03	39.3001	10.599	10.9112	0.8482	46.7356	18.02	12.22	9.22
B	180	2	4	93	93	99	12.44	15.33	37.8236	11.3617	8.4961	0.6256	47.2668	18.56	10.17	7.93
B	180	3	4	99	85	86	15.15	11.4	28.5714	8.4196	11.329	0.717	46.544	18.83	10.58	8.05
B	180	4	4	88	73	83	15.39	12.91	27.5669	9.0091	6.6238	0.6178	52.1388	14.64	10.47	6.91
B	180	5	4	94	87	90	11.82	15.91	32.9809	9.9317	9.6257	0.7909	48.4172	16.78	9.36	8.06
B	180	6	4	98	81	83	16.04	13.92	32.6863	6.5192	9.2705	0.5435	44.746	16.77	12.55	9.11
B	270	1	1	94	38	44	17.86	13.36	17.006	4.3432	3.7616	0.2213	52.65	18.57	12.51	8.09
B	270	2	1	95	61	63	14.01	15.42	26.0785	6.5452	5.4193	0.3489	84.1044	18.53	9.38	7.59
B	270	3	1	98	69	69	13.71	13.83	29.1288	7.8906	5.8496	0.3887	49.742	15.76	12.43	11.07
B	270	4	1	89	62	69	14.74	11.08	27.1439	9.1362	6.3631	0.416	47.3244	15.04	8.88	6.73
B	270	5	1	90	73	83	13.88	13.05	31.866	10.9011	8.6314	0.5911	45.8964	18.64	11.57	7.1
B	270	6	1	94	86	93	21.51	11.02	39.1331	9.8301	11.2813	0.7626	46.3808	18.67	10.55	7.82
B	270	1	2	87	53	61	15.94	13.42	20.8996	4.9586	4.7708	0.2806	74.1224	15.47	13.4	10.98
B	270	2	2	97	73	73	18.44	13.42	29.4774	7.9873	8.0619	0.3707	79.1608	18.45	10.84	7.76
B	270	3	2	94	58	65	16.64	16.03	27.8828	6.8066	7.0088	0.4548	47.4296	16.67	11.51	10.97
B	270	4	2	90	51	59	12.85	15.25	23.9674	6.2755	3.9714	0.3066	51.4684	17.91	11.09	6.61
B	270	5	2	87	53	65	12.92	13.67	30.5001	8.7468	8.7575	0.4371	58.2876	15.75	13.5	9
B	270	6	2	92	73	79	23.58	12.87	29.8878	8.9428	9.2267	0.51	46.2576	18.54	13.27	11.01
B	270	1	3	77	45	67	12.25	10.25	26.2769	7.8971	5.1494	0.3891	69.5376	18.14	10.34	6.63
B	270	2	3	98	82	84	14.78	14.37	36.0526	11.8866	10.1886	0.557	52.0676	17.53	13.37	6.96
B	270	3	3	91	66	70	15.79	14.17	29.2475	8.9354	5.4102	0.4316	50.3504	15.21	11.26	8.94
B	270	4	3	85	49	64	13.52	11.33	27.4802	7.6796	8.1404	0.4115	49.8692	16.78	12.31	10.81
B	270	5	3	92	86	89	12.58	14.5	41.3429	9.7461	11.4023	0.6653	47.5016	16.38	13.31	7.98
B	270	6	3	87	66	77	18.85	13.75	29.8682	9.5716	7.1655	0.6328	52.708	14.76	11.24	7.89
B	270	1	4	81	45	44	11.04	14.92	15.0718	3.4669	4.873	0.236	47.2988	16.53	13.62	9.96
B	270	2	4	95	72	69	12.74	15.03	32.157	6.9855	8.9395	0.471	53.6192	14.4	10.21	8.83
B	270	3	4	94	69	75	15.86	12.01	33.2798	6.3832	6.3066	0.5044	48.7172	18.85	9.48	8.02
B	270	4	4	95	57	58	12.62	14.08	22.9749	4.7187	5.6834	0.3278	49.8404	18.49	13.39	7.05
B	270	5	4	97	71	69	12.08	12.7	32.4149	8.9568	7.0235	0.467	48.9316	15.51	12.37	10.98
B	270	6	4	95	88	89	22.99	15.5	34.1609	7.8558	7.8774	0.628	47.2276	16.27	12.41	8.74
